id;Signature;Author;Title;First line;Year;Meter;Razmer;Razmer_wclaus;Genre subtitle;Source_name;Place;Year;Volume;Number;Page;Type;Перепечатки;Meter;Стоп;Клаузула;canon_ou_non;corpus
27;-ов;Глебов Д.П.;Часовня;Нахмуряь облака, как мрачная завеса;1823;Я;Я66666664;Я66666664жмжм;Элегия;НЛ;NA;1823;Кн. 6;№ 44;76-78;per;Опубликовано с разночтениями: Глебов Д. Элегии и другие стихотворения. М., 1827. С. 12-16.;Я;66666664;жмжм;nc;core
28;А. Пушкин;Пушкин А.С.;Элегия;Я пережил свои желанья;1823;Я;Я4;Я4жмжм;NA;НЛ;NA;1823;Кн. 6;№ 48;144;per;NA;Я;4;жмжм;canon;core
29;Е. Баратынский;Баратынский Е.А.;Элегия;Ужели близок час свиданья;1820;Я;Я4;Я4неурег;NA;НЗ;NA;1820;Ч. 1;Январь;99-100;per;Повторно опубликовано:  СО. 1821. Ч. 6. № 7. С. 320-321.;Я;4;неурег;nc;core
30;Барон Дельвиг;Дельвиг А.А.;Элегия;Не мило мне на новосельи;1820;Я;Я4;Я4неурег;NA;НЗ;NA;1820;Ч. 1;Февраль;87-88;per;NA;Я;4;неурег;nc;core
31;Евгений Баратынский;Баратынский Е.А.;NA;Заснули рощи над потоком;1820;Я;Я4;Я4неурег;"под общ. загл ""Элегии""";НЗ;NA;1820;Ч. 1;Март;54-55;per;NA;Я;4;неурег;nc;core
32;Василий Пушкин;Пушкин В.Л.;NA;В пустыню дикую сокроюсь я несчастный;1820;Я;Я6;Я6неурег;"под общ. загл ""Элегии""";НЗ;NA;1820;Ч. 1;Март;55-56;per;NA;Я;6;неурег;nc;core
33;Плетнев;Плетнев П.А.;Слабая сторона;Ни прелесть голубых очей;1820;Я;Я43;Я43мжмж;Элегия;НЗ;NA;1820;Ч. 2;Апрель;63-64;per;NA;Я;43;мжмж;nc;core
34;Плетнев;Плетнев П.А.;Смерть;Остыла пламенная кровь;1821;Я;Я43;Я43мжмж;Элегия;Соревнователь;NA;1821;Ч. 13;Кн. 1;90-91;per;NA;Я;43;мжмж;nc;core
35;А. Крылов;Крылов А.А.;Недоверчивость;Не спрашивай, зачем я так уныл;1821;Я;Я5;Я5неурег;Элегия;Соревнователь;NA;1821;Ч. 15;Кн. 1;87-89;per;NA;Я;5;неурег;nc;core
36;Е. Б.;Баратынский Е.А.;NA;Прощай, отчизна непогоды;1821;Я;Я43;Я43жмжм;"под общ. загл ""Элегии""";Соревнователь;NA;1821;Ч. 15 ;Кн. 2;236-237;per;NA;Я;43;жмжм;nc;core
37;Е. Б. ;Баратынский Е.А.;Н.М.К.;Пора покинуть милый друг;1821;Я;Я4;Я4неурег;"под общ. загл ""Элегии""";Соревнователь;NA;1821;Ч. 15;Кн. 2;237-239;per;NA;Я;4;неурег;canon;core
38;* *;Баратынский Е.А.;NA;Нет не бывать тому что было прежде;1821;Я;Я5;Я5неурег;"под общ. загл ""Элегии""";Соревнователь;NA;1821;Ч. 16;Кн. 2;204;per;NA;Я;5;неурег;canon;core
39;* *;Баратынский Е.А.;NA;Не искушай меня без нужды;1821;Я;Я4;Я4неурег;"под общ. загл ""Элегии""";Соревнователь;NA;1821;Ч. 16;Кн. 2;205;per;NA;Я;4;неурег;canon;core
40;Плетнев;Плетнев П.А.;Элегия;Как странник сбившийся с пути;1822;Я;Я4;Я4мжжмжммж;NA;Соревнователь;NA;1822;Ч. 17;Кн. 3;336-337;per;NA;Я;4;мжжмжммж;canon;core
41;П.с.р.въ;Писарев А.И. (?);NA;Вотще, обманутый любовью;1822;Я;ЯВ;ЯВнеурег;"под общ. загл ""Элегии"" I";Соревнователь;NA;1822;Ч. 18;Кн. 2;210-211;per;NA;Я;В;неурег;nc;core
42;П.с.р.въ;Писарев А.И. (?);NA;Куда сокрыться от желаний;1822;Я;ЯВ;ЯВнеурег;II;Соревнователь;NA;1822;Ч. 18;Кн. 2;211-214;per;NA;Я;В;неурег;nc;core
43;П.с.р.въ;Писарев А.И. (?);NA;Эрминия на миг судьба нас породнила;1822;Я;ЯВ;ЯВнеурег;III;Соревнователь;NA;1822;Ч. 18;Кн. 2;214-216;per;NA;Я;В;неурег;nc;core
44;В. Олин;Олин В.Н.;Элегия;Нет мраку не сиять и в полуночной мгле;1823;Я;Я65;Я65мжмж;NA;Соревнователь;NA;1823;Ч. 21;Кн. 1;63-67;per;NA;Я;65;мжмж;nc;core
45;Александр Герман;[Александр Герман];Элегия;Когда в груди моей настанет тишина;1823;Я;Я65;Я65мжмж;NA;Соревнователь;NA;1823;Ч. 22;Кн. 1;84-85;per;NA;Я;65;мжмж;nc;core
47;Баратынский;Баратынский Е.А.;Сельская элегия;Я возвращуся к вам поля моих отцов;1821;Я;Я6;Я6ммжж;NA;СО;NA;1821;Ч. 67;№ 6;274-276;per;NA;Я;6;ммжж;canon;core
49;NA;Плетнев П.А.;Б…ов из Рима;Напрасно ветренный поэт;1821;Я;Я43;Я43мжмж;Элегия;СО;NA;1821;Ч. 68;№ 8;35-37;per;NA;Я;43;мжмж;nc;core
